A;SECTION A HUMAN NECESSITIES
A47L0025000000;Domestic cleaning devices not provided for in other groups of this subclass (for cleaning spectacles G02C0013000000)
A47L0025020000;for buttons, clasps, or military insignia
A47L0025040000;for door-knobs
A47L0025060000;Guard plates for use while cleaning butts, door-knobs or the like
A47L0025080000;Pads or the like for cleaning clothes
A47L0025120000;Devices or implements for cleaning lamp chimneys
A61;MEDICAL OR VETERINARY SCIENCE. HYGIENE
A61B;DIAGNOSIS. SURGERY. IDENTIFICATION (analysing biological material G01N, e.g. G01N0033480000)
A61B0001000000;Diagnosis. Psycho-physical tests
A61B0001000000;Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B0008120000. endoscopic instruments for taking cell samples or for biopsy A61B0010040000. for surgical purposes A61B0017000000. surgical instruments using a laser beam being directed along or through a flexible conduit A61B0018220000). Illuminating arrangements therefor (for the eyes A61B0003000000)
A61B0001002000;having rod-lens arrangements (A61B0001055000 takes precedence)..
A61B0001005000;Flexible endoscopes
A61B0001008000;Articulations
A61B0001010000;Guiding arrangements therefor
A61B0001012000;characterised by internal passages or accessories therefor
A61B0001015000;Control of fluid supply or evacuation
A61B0001018000;for receiving instruments
A61B0001040000;combined with photographic or television appliances
A61B0001045000;Control thereof
A61B0001050000;characterised by the image sensor, e.g. camera, being in the distal end portion
A61B0001055000;having rod-lens arrangements
A61B0001060000;with illuminating arrangements
A61B0001070000;using light-conductive means, e.g. optical fibres
A61B0001120000;with cooling or rinsing arrangements (A61B0001015000 takes precedence)..
A61B0001227000;for ears, i.e. otoscopes
A61B0001233000;for the nose, i.e. nasoscopes
A61B0001240000;for the mouth, i.e. stomatoscopes, e.g. with tongue depressors (tongue depressors per seA61B0013000000). Instruments for opening or keeping open the mouth (combined with saliva removers A61C0017100000)
A61B0001247000;with means for viewing areas outside the direct line of sight, e.g. dentists' mirrors
A61B0001253000;with means for preventing fogging
A61B0001267000;for the respiratory tract, e.g. laryngoscopes, bronchoscopes
A61B0001273000;for the upper alimentary canal, e.g. oesophagoscopes, gastroscopes
A61B0001303000;for the vagina, i.e. vaginoscopes
A61B0001307000;for the urinary organs, e.g. urethroscopes, cystoscopes
A61B0001310000;for the rectum, e.g. proctoscopes, sigmoidoscopes
A61B0001313000;for introducing through surgical openings, e.g. laparoscopes
A61B0001317000;for bones or joints, e.g. osteoscopes, arthroscopes
A61B0001320000;Devices for opening or enlarging the visual field, e.g. of a tube of the body (dilators A61M0029000000)
A61B0003000000;Apparatus for testing the eyes. Instruments for examining the eyes (eye inspection using ultrasonic, sonic or infrasonic waves A61B0008100000)
A61B0003020000;Subjective types, i.e. testing apparatus requiring the active assistance of the patient
A61B0003024000;for determining the visual field, e.g. perimeter types
A61B0003028000;for testing visual acuity. for determination of refraction, e.g. phoropters
A61B0003032000;Devices for presenting test symbols or characters, e.g. test chart projectors (A61B0003036000 takes precedence)..
A61B0003036000;for testing astigmatism
A61B0003040000;Trial frames. Sets of lenses for use therewith
A61B0003060000;for testing light sensitivity, e.g. adaptation. for testing colour vision
A61B0003080000;for testing binocular or stereoscopic vision, e.g. strabismus
A61B0003090000;for testing accommodation
A61B0003100000;Objective types, i.e. instruments for examining the eyes independent of the patients perceptions or reactions
A61B0003103000;for determining refraction, e.g. refractometers, skiascopes
A61B0003107000;for determining the shape or measuring the curvature of the cornea
A61B0003110000;for measuring interpupillary distance or diameter of pupils
A61B0003113000;for determining or recording eye movement
A61B0003117000;for examining the anterior chamber or the anterior chamber angle, e.g. gonioscopes
A61B0003120000;for looking at the eye fundus, e.g. ophthalmoscopes (A61B0003130000 takes precedence)..
A61B0003125000;with contact lenses
A61B0003130000;Ophthalmic microscopes
A61B0003135000;Slit-lamp microscopes
A61B0003140000;Arrangements specially adapted for eye photography
A61B0003150000;with means for aligning, spacing or blocking spurious reflection
A61B0003160000;for measuring intraocular pressure, e.g. tonometers
A61B0003180000;Arrangement of plural eye-testing or -examining apparatus
A61B0005000000;Measuring for diagnostic purposes (radiation diagnosis A61B0006000000. diagnosis by ultrasonic, sonic or infrasonic waves A61B0008000000). Identification of persons
A61B0005010000;Measuring temperature of body parts (clinical thermometers G01K0005220000. thermometers for special purposes G01K0013000000)
A61B0005020000;Measuring pulse, heart rate, blood pressure or blood flow. Combined pulse/heart-rate/blood pressure determination. Evaluating a cardiovascular condition not otherwise provided for, e.g. using combinations of techniques provided for in this group with electrocardiography. Heart catheters for measuring blood pressure
A61B0005020500;Simultaneously evaluating both cardiovascular conditions and different types of body conditions, e.g. heart and respiratory condition
A61B0005021000;Measuring pressure in heart or blood vessels (A61B0005020500 takes precedence)..
A61B0005021500;by means inserted into the body
A61B0005022000;by applying pressure to close blood vessels, e.g. against the skin. Ophthaldynamometers
A61B0005022500;the pressure being controlled by electric signals, e.g. derived from Korotkoff sounds
A61B0005023000;the pressure transducers comprising a liquid column
A61B0005023500;Valves specially adapted therefor
A61B0005024000;Measuring pulse rate or heart rate (A61B0005020500, A61B0005021000 take precedence)..
A61B0005024500;using sensing means generating electric signals
A61B0005025000;within occluders, e.g. responsive to Korotkoff sounds
A61B0005025500;Recording instruments specially adapted therefor
A61B0005026000;Measuring blood flow
A61B0005026500;using electromagnetic means, e.g. electromagnetic flow meter
A61B0005027000;using catheters
A61B0005027500;using tracers, e.g. dye dilution
A61B0005028000;by thermo-dilution
A61B0005028500;Measuring phase velocity of blood waves
A61B0005029000;Measuring blood output from the heart, e.g. minute volume
A61B0005029500;using plethysmography, i.e. measuring the variations in the volume of a body part as modified by the circulation of blood therethrough, e.g. impedance plethysmography
A61B0005030000;Measuring fluid pressure within the body other than blood pressure, e.g. cerebral pressure
A61B0005040000;Measuring bioelectric signals of the body or parts thereof
A61B0005040200;Electrocardiography, i.e. ECG
A61B0005040400;Hand-held devices
A61B0005040800;Electrodes specially adapted therefor (for foetal cardiography A61B0005044800. for electroencephalograph signals A61B0005047800. for electromyography A61B0005049200)
A61B0005041600;connected by means of snap fasteners
A61B0005042000;for introducing into the body
A61B0005042400;Protection against electrode failure
A61B0005042800;Input circuits specially adapted therefor
A61B0005043200;Recording apparatus specially adapted therefor
A61B0005043600;Magnetic recording apparatus
A61B0005044000;Displays specially adapted therefor
A61B0005044400;Foetal cardiography
A61B0005044800;Electrodes specially adapted therefor, e.g. scalp electrodes
A61B0005045200;Detecting specific parameters of the electrocardiograph cycle
A61B0005045600;Detecting R peaks, e.g. for synchronising diagnostic apparatus
A61B0005046000;Detecting fibrillation
A61B0005046400;Detecting tachycardy or brachycardy
A61B0005046800;Detecting abnormal ECG interval
A61B0005047200;Detecting abnormal QRS complex
A61B0005047600;Electroencephalography
A61B0005047800;Electrodes specially adapted therefor
A61B0005048000;Detecting the frequency distribution of signals
A61B0005048200;using biofeedback
A61B0005048400;using evoked response
A61B0005048800;Electromyography
A61B0005049200;Electrodes specially adapted therefor, e.g. needle electrodes
A61B0005049600;Electro-oculography, e.g. detecting nystagmus
A61B0005050000;Measuring for diagnosis by means of electric currents or magnetic fields (A61B0005020000, A61B0005040000, A61B0005110000 take precedence)..
A61B0005053000;Measuring electrical impedance or conductance of a portion of the body
A61B0005055000;involving electronic [EMR] or nuclear [NMR] magnetic resonance, e.g. magnetic resonance imaging
A61B0005060000;Devices, other than using radiation, for detecting or locating foreign bodies (for removing same A61B0017500000)
A61B0005070000;Endoradiosondes
A61B0005080000;Measuring devices for evaluating the respiratory organs (A61B0005020500 takes precedence)..
A61B0005083000;Measuring rate of metabolism by using breath test, e.g. measuring rate of oxygen consumption
A61B0005085000;Measuring impedance of respiratory organs or lung elasticity
A61B0005087000;Measuring breath flow
A61B0005090000;using an element rotated by the flow
A61B0005091000;Measuring volume of inspired or expired gases, e.g. to determine lung capacity
A61B0005093000;the gases being exhaled into, or inhaled from, an expansible chamber, e.g. bellows or expansible bag
A61B0005095000;within a rigid container, e.g. the boundary being formed by a liquid surface
A61B0005097000;Devices for facilitating collection of breath or for directing breath into or through measuring devices
A61B0005103000;Measuring devices for testing the shape, pattern, size or movement of the body or parts thereof, for diagnostic purposes (A61B0005080000. takes precedence.measuring instruments specially adapted for dentistry A61C0019040000)
A61B0005107000;Measuring physical dimensions, e.g. size of the entire body or parts thereof
A61B0005110000;Measuring movement of the entire body or parts thereof, e.g. head or hand tremor or mobility of a limb (for measuring pulse A61B0005020000)
A61B0005113000;occurring during breathing
A61B0005117000;Identification of persons, e.g. finger-printing, foot-printing or impression techniques (dental impression cups or articulators A61C0009000000, A61C0011000000. recognising fingerprints G06K0009000000. identification of persons by analysing their voice or speech G10L0017000000)
A61B0005120000;Audiometering
A61B0005145000;Measuring characteristics of blood  in vivo, e.g. gas concentration, pH-value(measuring of blood pressure or blood flow A61B0005020000. non-radiation detecting or locating of foreign bodies in blood A61B0005060000)
