E;SECTION E FIXED CONSTRUCTIONS
E05B0029000000;Cylinder locks with plate tumblers that are set by pushing the key in
E05B0029020000;operated by the edge of the key
E05B0029040000;arranged singly
E05B0029060000;arranged in pairs
E05B0029080000;operated by other surfaces of the key
E05B0029100000;operated by a curved groove or slot
E05B0029120000;operated by a curved rib
E05B0029140000;with both axially and radially arranged plate tumblers
E05B0031000000;Cylinder locks with both tumbler pins or balls and plate tumblers that are set by pushing the key in
E05B0033000000;Cylinder locks. with tumblers that are set by pushing the key in, in which the bolt is moved by means other than the key
E05B0035000000;Locks for use with special keys or a plurality of keys
E05B0035020000;which can be shifted laterally
E05B0035040000;for pull keys
E05B0035060000;for screw keys
E05B0035080000;operable by a plurality of keys
E05B0035100000;with master and pass keys
E05B0035120000;requiring the use of two keys, e.g. safe-deposit locks
E05B0035140000;with keys of which different parts operate separate mechanisms
E05B0037000000;Permutation locks (electric permutation locks E05B0049000000. for bicycles E05B0071020000). Puzzle locks
E05B0037020000;with tumbler discs or rings arranged on a single axis, each disc being adjustable independently of the others
E05B0037040000;with tumbler discs on a single axis, all the discs being adjustable by rotating a shiftable knob
E05B0037060000;in padlocks
E05B0037080000;with tumbler discs on a single axis, all the discs being adjustable by a rotary knob which is not shifted
E05B0037100000;in padlocks
E05B0037120000;with tumbler discs on several axes
E05B0037140000;in padlocks
E05B0037160000;with two or more push or pull knobs, slides, or the like
E05B0037180000;in padlocks
E05B0037200000;Puzzle locks
E05B0037220000;in padlocks
E05B0039000000;Locks with indicating or timing devices
E05B0039000000;Locks giving indication of unauthorised unlocking
E05B0039020000;with destructible seal closures or paper closures (seals per seG09F0003000000)
E05B0039040000;with counting or registering devices
E05B0041000000;Locks with visible indication as to whether the lock is locked or unlocked
E05B0043000000;Time locks (clocks or clock mechanisms with attached or built-in means operating any device at preselected times or after a predetermined time interval G04C0023000000)
E05B0045000000;Alarm locks (alarm devices actuated by tampering with fastenings in general G08B)
E05B0045020000;with mechanically-operated bells
E05B0045040000;with detonating alarm devices
E05B0045060000;Electric alarm locks
E05B0045080000;with contact making inside the lock or in the striking plate
E05B0045100000;by introducing the key
E05B0045120000;by movement of the bolt
E05B0045140000;with contact making outside the lock
E05B0047000000;Operation or control of locks by non-mechanical means, e.g. from a distance
E05B0047000000;Operating or controlling locks or other fastening devices by electric or magnetic means (electric permutation locks E05B0049000000. holding in open position or limiting movement of wings by magnetic or electromagnetic attraction E05C0017560000. key switches H01H0027000000)
E05B0047020000;Adaptation of locks, latches, or parts thereof, for movement of the bolt by electromagnetic means
E05B0047040000;for unlocking only
E05B0047060000;Controlling mechanically-operated bolts by electromagnetically-operated detents
E05B0047080000;the bolt being withdrawn by a spring which is stressed by closing the wing
E05B0049000000;Electric permutation locks. Circuits therefor
E05B0049020000;with electrical arrangements inside the lock
E05B0049040000;with electrical arrangements outside the lock
E05B0051000000;Operating or controlling locks or other fastening devices by other non-mechanical means
E05B0051020000;by pneumatic or hydraulic means
E05B0053000000;Operation or control of locks by mechanical transmissions, e.g. from a distance
E05B0055000000;Locks with provision for latching
E05B0055000000;Locks in which a sliding latch is used also as a locking bolt
E05B0055020000;the bolt being secured by the tumbler
E05B0055040000;the bolt being secured by the cross-bar or the turnbuckle and the handle being locked
E05B0055060000;the handle being disconnected
E05B0055080000;the bolt being secured by transverse bolts
E05B0055100000;without securing the bolt
E05B0055120000;the bolt being secured by the operation of a hidden parallel member
E05B0055140000;the bolt being secured by the operation of a wing handle, or by means in the wing handle or knob
E05B0055160000;merely by normal use of the handle on one side of the wing
E05B0057000000;Locks in which a pivoted latch is used also as locking means
E05B0059000000;Locks with latches separate from the lock-bolts, or with a plurality of latches or lock-bolts
E05B0059020000;with arrangements for securing the latch while shooting the lock-bolt
E05B0059040000;Locks in which the latch is moved by a lock-bolt, or the lock-bolt by a latch, or one latch by another, or the like
E05B0059060000;with a lock-bolt slidable in the latch
E05B0061000000;Other locks with provision for latching
E05B0063000000;Locks with special structural characteristics or for special use
E05B0063000000;Locks with special structural characteristics
E05B0063020000;without springs
E05B0063040000;for alternative use on the right-hand or left-hand side of wings
E05B0063060000;with lengthwise-adjustable bolts
E05B0063080000;Mortise locks
E05B0063100000;requiring only two cylindrical holes in the wing
E05B0063120000;with means carried by the bolt for interlocking with the keeper
E05B0063140000;Arrangement of several locks or locks with several bolts, e.g. arranged one behind the other (locks for keys with several bits E05B0035140000. with provision for latching E05B0059000000, E05B0061000000. arrangements of simultaneously-actuated bolts or other securing devices at well-separated positions on the same wing E05C0009000000)
E05B0063160000;with the handles on opposite sides moving independently (the latch being secured by the operation of a wing handle E05B0055140000)
E05B0063180000;with arrangements independent of the locking mechanism for retaining the bolt in the retracted position
E05B0063200000;released automatically when the wing is closed
E05B0063220000;operated by a pulling or pushing action perpendicular to the front plate (E05B0035040000 takes precedence)..
E05B0063240000;Arrangements in which the fastening members which engage one another are mounted respectively on the wing and the frame and are both movable, e.g. for release by moving either of them (hasp locks E05B0065480000. hasp fastenings E05C0019080000)
E05B0065000000;Locks for special use
E05B0065020000;for thin, hollow, or thin-metal wings
E05B0065040000;for wings, one behind the other, hinged on the same side (fastening devices specially adapted for two wings which lie one behind the other when closed E05C0007020000)
E05B0065060000;for swing doors
E05B0065080000;for sliding wings
E05B0065100000;for panic or emergency doors
E05B0065440000;for furniture or drawers
E05B0065460000;Special locks for drawers, e.g. for a plurality of drawers
E05B0065480000;Hasp locks (hasp fastenings other than locks E05C0019080000)
E05B0065500000;for briefcases
E05B0065520000;Other locks for chests, boxes, trunks, baskets, travelling bags, or the like (closures for bags or trunks A45C0013060000, A45C0013100000, A45C0013160000)
E05B0067000000;Padlocks (permutation locks E05B0037000000). Details thereof
E05B0067020000;Cases
E05B0067040000;Armoured cases
E05B0067060000;Shackles. Arrangement of the shackle
E05B0067080000;Padlocks with shackles hinged on the case
E05B0067100000;with devices for securing the free end of the shackle
E05B0067120000;with built-in cylinder locks
E05B0067140000;with devices for securing the hinged end of the shackle
E05B0067160000;with built-in cylinder locks
E05B0067180000;with devices for securing both ends of the shackle
E05B0067200000;with built-in cylinder locks
E05B0067220000;Padlocks with sliding shackles, with or without rotary or pivotal movement
E05B0067240000;with built-in cylinder locks
E05B0067260000;with screw action, with or without the shackle being moved by turning the key
E05B0067280000;Padlocks with shackles forming a circle
E05B0067300000;with built-in cylinder locks
E05B0067320000;Padlocks with pincer-like shackles
E05B0067340000;with built-in cylinder locks
E05B0067360000;Padlocks with closing means other than shackles
E05B0067380000;Auxiliary or protective devices
E05B0069000000;Locking devices for clothing, sticks, umbrellas, or cycles
E05B0069000000;Devices for locking clothing. Lockable clothing holders or hangers (dress or hat holders in general A47G0025000000)
E05B0069020000;Lockable clothing hooks (coin-controlled locking hooks G07F)
E05B0071000000;Locks specially adapted for bicycles, other than padlocks (locks integral with cycles B62H0005000000)
