C;SECTION C CHEMISTRY METALLURGY
C07G;COMPOUNDS OF UNKNOWN CONSTITUTION (sulfonated fats, oils or waxes of undetermined constution C07C0309620000)
C07G0001000000;Low-molecular-weight derivatives of lignin (high-molecular-weight¶ÿderivatives of lignin C08H0007000000)
C07G0003000000;Glycosides
C07G0005000000;Alkaloids
C07G0009000000;Ammonium bituminosulfonate, e.g. Ichthyol
C07G0011000000;Antibiotics
C07G0013000000;Vitamins of unknown constitution
C07G0015000000;Hormones
C07G0099000000;Subject matter not provided for in other groups of this subclass
C07H;SUGARS. DERIVATIVES THEREOF. NUCLEOSIDES. NUCLEOTIDES. NUCLEIC ACIDS (derivatives of aldonic or saccharic acids C07C, C07D. aldonic acids, saccharic acids C07C0059105000, C07C0059285000. cyanohydrins C07C0255160000. glycals C07D. compounds of unknown constitution C07G. polysaccharides, derivatives thereof C08B. DNA or RNA concerning genetic engineering, vectors, e.g. plasmids, or their isolation, preparation or purification C12N0015000000. sugar industry C13)
C07H0001000000;Processes for the preparation of sugar derivatives
C07H0001020000;Phosphorylation
C07H0001040000;Introducing polyphosphoric acid radicals
C07H0001060000;Separation. Purification
C07H0001080000;from natural products
C07H0003000000;Compounds containing only hydrogen atoms and saccharide radicals having only carbon, hydrogen, and oxygen atoms (preparation by hydrolysis of di-or polysaccharides C13. separation or purification of sucrose, glucose, fructose, lactose or maltose C13)
C07H0003020000;Monosaccharides
C07H0003040000;Disaccharides
C07H0003060000;Oligosaccharides, i.e. having three to five saccharide radicals attached to each other by glycosidic linkages
C07H0003080000;Deoxysugars. Unsaturated sugars (1,2-dideoxy-1-enoses C07D). Osones
C07H0003100000;Anhydrosugars, e.g. epoxides
C07H0005000000;Compounds containing saccharide radicals in which the hetero bonds to oxygen have been replaced by the same number of hetero bonds to halogen, nitrogen, sulfur, selenium, or tellurium
C07H0005020000;to halogen
C07H0005040000;to nitrogen
C07H0005060000;Aminosugars
C07H0005080000;to sulfur, selenium, or tellurium
C07H0005100000;to sulfur
C07H0007000000;Compounds containing non-saccharide radicals linked to saccharide radicals by a carbon-to-carbon bond
C07H0007020000;Acyclic radicals
C07H0007027000;Keto-aldonic acids
C07H0007033000;Uronic acids
C07H0007040000;Carbocyclic radicals
C07H0007060000;Heterocyclic radicals
C07H0009000000;Compounds containing a hetero ring sharing at least two hetero atoms with a saccharide radical
C07H0009020000;the hetero ring containing only oxygen as ring hetero atoms
C07H0009040000;Cyclic acetals
C07H0009060000;the hetero ring containing nitrogen as ring hetero atoms
C07H0011000000;Compounds containing saccharide radicals esterified by inorganic acids. Metal salts thereof (halo-sugars C07H0005020000. thio-, seleno-, or telluro-sugars C07H0005080000)
C07H0011020000;Nitrates. Nitrites
C07H0011040000;Phosphates. Phosphites. Polyphosphates
C07H0013000000;Compounds containing saccharide radicals esterified by carbonic acid or derivatives thereof, or by organic acids, e.g. phosphonic acids
C07H0013020000;by carboxylic acids
C07H0013040000;having the esterifying carboxyl radicals attached to acyclic carbon atoms
C07H0013060000;Fatty acids
C07H0013080000;having the esterifying carboxyl radicals directly attached to carbocyclic rings
C07H0013100000;having the esterifying carboxyl radicals directly attached to heterocyclic rings
C07H0013120000;by acids having the group . XC (X)X, or halides thereof, in which X means nitrogen, oxygen, sulfur, selenium, or tellurium, e.g. carbonic acid, carbamic acid
C07H0015000000;Compounds containing hydrocarbon or substituted hydrocarbon radicals directly attached to hetero atoms of saccharide radicals
C07H0015020000;Acyclic radicals, not substituted by cyclic structures
C07H0015040000;attached to an oxygen atom of a saccharide radical
C07H0015060000;being a hydroxyalkyl group esterified by a fatty acid
C07H0015080000;Polyoxyalkylene derivatives
C07H0015100000;containing unsaturated carbon-to-carbon bonds
C07H0015120000;attached to a nitrogen atom of a saccharide radical
C07H0015140000;attached to a sulfur, selenium or tellurium atom of a saccharide radical
C07H0015160000;Lincomycin. Derivatives thereof
C07H0015180000;Acyclic radicals, substituted by carbocyclic rings
C07H0015200000;Carbocyclic rings
C07H0015203000;Monocyclic carbocyclic rings other than cyclohexane rings. Bicyclic carbocyclic ring systems
C07H0015207000;Cyclohexane rings not substituted by nitrogen atoms, e.g. kasugamycins
C07H0015220000;Cyclohexane rings, substituted by nitrogen atoms
C07H0015222000;Cyclohexane rings, substituted by at least two nitrogen atoms
C07H0015224000;with only one saccharide radical directly attached to the cyclohexane rings, e.g. destomycin, fortimicin, neamine
C07H0015226000;with at least two saccharide radicals directly attached to the cyclohexane rings
C07H0015228000;attached to adjacent ring-carbon atoms of the cyclohexane rings
C07H0015230000;with only two saccharide radicals in the molecule, e.g. ambutyrosin, butyrosin, xylostatin, ribostamycin
C07H0015232000;with at least three saccharide radicals in the molecule, e.g. lividomycin, neomycin, paromomycin
C07H0015234000;attached to non-adjacent ring carbon atoms of the cyclohexane rings, e.g. kanamycins, tobramycin, nebramycin, gentamicin A. 2
C07H0015236000;a saccharide radical being substituted by an alkylamino radical in position 3 and by two substituents different from hydrogen in position 4, e.g. gentamicin complex, sisomicin, verdamicin
C07H0015238000;Cyclohexane rings substituted by two guanidine radicals, e.g. streptomycins
C07H0015240000;Condensed ring systems having three or more rings
C07H0015244000;Anthraquinone radicals, e.g. sennosides
C07H0015248000;Colchicine radicals, e.g. colchicosides
C07H0015252000;Naphthacene radicals, e.g. daunomycins, adriamycins
C07H0015256000;Polyterpene radicals
C07H0015260000;Acyclic or carbocyclic radicals, substituted by hetero rings
C07H0017000000;Compounds containing heterocyclic radicals directly attached to hetero atoms of saccharide radicals
C07H0017020000;Heterocyclic radicals containing only nitrogen as ring hetero atoms
C07H0017040000;Heterocyclic radicals containing only oxygen as ring hetero atoms
C07H0017060000;Benzopyran radicals
C07H0017065000;Benzo[b]pyrans
C07H0017070000;Benzo[b]pyran-4-ones
C07H0017075000;Benzo[b]pyran-2-ones
C07H0017080000;Hetero rings containing eight or more ring members, e.g. erythromycins
C07H0019000000;Compounds containing a hetero ring sharing one ring hetero atom with a saccharide radical. Nucleosides. Mononucleotides. Anhydro derivatives thereof
C07H0019010000;sharing oxygen
C07H0019020000;sharing nitrogen
C07H0019040000;Heterocyclic radicals containing only nitrogen as ring hetero atom
C07H0019044000;Pyrrole radicals
C07H0019048000;Pyridine radicals
C07H0019052000;Imidazole radicals
C07H0019056000;Triazole or tetrazole radicals
C07H0019060000;Pyrimidine radicals
C07H0019067000;with ribosyl as the saccharide radical
C07H0019073000;with 2-deoxyribosyl as the saccharide radical
C07H0019090000;with arabinosyl as the saccharide radical
C07H0019100000;with the saccharide radical being esterified by phosphoric or polyphosphoric acids
C07H0019110000;containing cyclic phosphate
C07H0019120000;Triazine radicals
C07H0019140000;Pyrrolo-pyrimidine radicals
C07H0019160000;Purine radicals
C07H0019167000;with ribosyl as the saccharide radical
C07H0019173000;with 2-deoxyribosyl as the saccharide radical
C07H0019190000;with arabinosyl as the saccharide radical
C07H0019200000;with the saccharide radical being esterified by phosphoric or polyphosphoric acids
C07H0019207000;the phosphoric or polyphosphoric acids being esterified by a further hydroxylic compound, e.g. flavine-adenine dinucleotide or nicotinamide-adenine dinucleotide
C07H0019213000;containing cyclic phosphate
C07H0019220000;Pteridine radicals
C07H0019230000;Heterocyclic radicals containing two or more heterocyclic rings condensed among themselves or condensed with a common carbocyclic ring system, not provided for in groups . C07H0019140000-C07H0019220000
C07H0019240000;Heterocyclic radicals containing oxygen or sulfur as ring hetero atom
C07H0021000000;Compounds containing two or more mononucleotide units having separate phosphate or polyphosphate groups linked by saccharide radicals of nucleoside groups, e.g. nucleic acids
C07H0021020000;with ribosyl as saccharide radical
C07H0021040000;with deoxyribosyl as saccharide radical
C07H0023000000;Compounds containing boron, silicon, or a metal, e.g. chelates, vitamin B 12(esters with inorganic acids C07H0011000000. metal salts, see parent compounds).
C07H0099000000;Subject matter not provided for in other groups of this subclass
C07J;STEROIDS (seco-steroids C07C)
C07J0001000000;Normal steroids, i.e. cyclopenta[a]hydrophenanthrenes, containing carbon, hydrogen, halogen, or oxygen
C07J0001000000;Normal steroids containing carbon, hydrogen, halogen, or oxygen, not substituted in position 17 beta by a carbon atom, e.g. oestrane, androstane
C07J0003000000;Normal steroids containing carbon, hydrogen, halogen, or oxygen, substituted in position 17 beta by one carbon atom
C07J0005000000;Normal steroids containing carbon, hydrogen, halogen, or oxygen, substituted in position 17 beta by a chain of two carbon atoms, e.g. pregnane, and substituted in position 21 by only one singly bound oxygen atom
C07J0007000000;Normal steroids containing carbon, hydrogen, halogen, or oxygen, substituted in position 17 beta by a chain of two carbon atoms (C07J0005000000 takes precedence)..
C07J0009000000;Normal steroids containing carbon, hydrogen, halogen, or oxygen, substituted in position 17 beta by a chain of more than two carbon atoms, e.g. cholane, cholestane, coprostane
C07J0011000000;Normal steroids containing carbon, hydrogen, halogen, or oxygen, not substituted in position 3
C07J0013000000;Normal steroids containing carbon, hydrogen, halogen, or oxygen, having a carbon-to-carbon double bond from or to position 17
C07J0015000000;Stereochemically pure steroids containing carbon, hydrogen, halogen, or oxygen, having a partially or totally inverted skeleton, e.g. retrosteroids, L-isomers
C07J0017000000;Normal steroids containing carbon, hydrogen, halogen, or oxygen, having an oxygen-containing hetero ring not condensed with the cyclopenta[a]hydrophenanthrene skeleton
C07J0019000000;Normal steroids containing carbon, hydrogen, halogen, or oxygen, substituted in position 17 by a lactone ring
C07J0021000000;Normal steroids containing carbon, hydrogen, halogen, or oxygen, having an oxygen-containing hetero ring spiro-condensed with the cyclopenta[a]hydrophenanthrene skeleton
C07J0031000000;Normal steroids, i.e. cyclopenta[a]hydrophenanthrenes, containing sulfur
C07J0031000000;Normal steroids containing one or more sulfur atoms not belonging to a hetero ring
C07J0033000000;Normal steroids having a sulfur-containing hetero ring spiro-condensed or not condensed with the cyclopenta[a]hydrophenanthrene skeleton
C07J0041000000;Normal steroids, i.e. cyclopenta[a]hydrophenanthrenes, containing nitrogen
C07J0041000000;Normal steroids containing one or more nitrogen atoms not belonging to a hetero ring
C07J0043000000;Normal steroids having a nitrogen-containing hetero ring spiro-condensed or not condensed with the cyclopenta[a]hydrophenanthrene skeleton
C07J0051000000;Normal steroids with unmodified cyclopenta[a]hydrophenanthrene skeleton not provided for in groups . C07J0001000000-C07J0043000000
