H;SECTION H ELECTRICITY
H02K0019040000;for single-phase current
H02K0019060000;Motors having windings on the stator and a variable-reluctance soft-iron rotor without windings, e.g. inductor motors
H02K0019080000;Motors having windings on the stator and a smooth rotor without windings of material with large hysteresis,¶ÿe.g. hysteresis motors
H02K0019100000;for multi-phase current
H02K0019120000;characterised by the arrangement of exciting windings, e.g. for self-excitation, compounding or¶ÿpole-changing
H02K0019140000;having additional short-circuited windings for starting as¶ÿasynchronous motors
H02K0019160000;Synchronous generators
H02K0019180000;having windings each turn of which co-operates only with poles of one polarity, e.g. homopolar generators
H02K0019200000;with variable-reluctance soft-iron rotors without winding
H02K0019220000;having windings each turn of which co-operates alternately with poles of opposite polarity, e.g. heteropolar generators
H02K0019240000;with variable-reluctance soft-iron rotors without winding
H02K0019260000;characterised by the arrangement of exciting windings
H02K0019280000;for self-excitation
H02K0019300000;for compounding
H02K0019320000;for pole-changing
H02K0019340000;Generators with two or more outputs
H02K0019360000;Structural association of synchronous generators with auxiliary electric devices influencing the characteristic of the generator¶ÿor controlling the generator, e.g. with impedances¶ÿor switches
H02K0019380000;Structural association of synchronous generators with exciting machines
H02K0021000000;Synchronous motors having permanent magnets. Synchronous generators having permanent magnets
H02K0021020000;Details
H02K0021040000;Windings on magnets for additional excitation
H02K0021100000;Rotating armatures
H02K0021120000;with stationary armatures and rotating magnets
H02K0021140000;with magnets rotating within the armatures
H02K0021160000;having¶ÿannular armature cores with salient poles (with homopolar co-operation H02K0021200000)
H02K0021180000;having horse-shoe armature cores (with homopolar co-operation H02K0021200000)
H02K0021200000;having windings each turn of which co-operates only with poles of one polarity, e.g. homopolar machine
H02K0021220000;with magnets rotating around the armatures, e.g. flywheel magnetos
H02K0021240000;with magnets axially facing the armatures, e.g. hub-type cycle dynamos
H02K0021260000;with rotating armatures and stationary magnets
H02K0021280000;with armatures rotating within the magnets
H02K0021300000;having annular armature cores with salient poles (with homopolar co-operation H02K0021360000)
H02K0021320000;having horse-shoe magnets (with homopolar co-operation H02K0021360000)
H02K0021340000;having bell-shaped or bar-shaped magnets, e.g. for cycle lighting (with homopolar co-operation H02K0021360000)
H02K0021360000;with homopolar co-operation
H02K0021380000;with rotating flux distributors, and armatures and magnets both stationary
H02K0021400000;with flux distributors rotating around the magnets and within the armatures
H02K0021420000;with flux distributors rotating around the armatures and within the magnets
H02K0021440000;with armature windings wound upon the magnets
H02K0021460000;Motors having additional short-circuited winding for starting as an asynchronous motor
H02K0021480000;Generators with two or more outputs
H02K0023000000;DC commutator motors or generators having mechanical commutator. Universal AC/DC commutator motors
H02K0023020000;characterised by arrangement for exciting
H02K0023040000;having permanent magnet excitation
H02K0023060000;having shunt connection of excitation windings
H02K0023080000;having series connection of excitation windings
H02K0023100000;having compound connection of excitation windings
H02K0023120000;having excitation produced by¶ÿcurrent sources independent of the armature circuit
H02K0023140000;having high-speed excitation or de-excitation, e.g. by neutralising the remanent excitation field
H02K0023160000;having angularly adjustable excitation field, e.g. by pole reversing or¶ÿpole switching
H02K0023180000;having displaceable main or auxiliary brushes
H02K0023200000;having additional brushes spaced intermediately of the main brushes on the commutator, e.g. cross-field machines, metadynes, amplidynes¶ÿor other armature-reaction excited machines
H02K0023220000;having compensating or damping windings
H02K0023240000;having commutating-pole windings
H02K0023260000;characterised by the armature windings
H02K0023280000;having open windings, i.e. not closed within the armatures
H02K0023300000;having lap windings. having loop windings
H02K0023320000;having wave winding. having undulating winding
H02K0023340000;having mixed windings
H02K0023360000;having two or more windings. having two or more commutators. having two or more stators
H02K0023380000;having winding or connection for improving commutation, e.g. equipotential connection
H02K0023400000;characterised by the arrangement of the magnet circuits
H02K0023420000;having split poles, i.e. zones for varying reluctance by gaps in poles or by poles with different spacing of the air gap
H02K0023440000;having movable, e.g. turnable, iron parts
H02K0023460000;having stationary shunts, i.e. magnetic cross flux
H02K0023480000;having adjustable armatures
H02K0023500000;Generators with two or more outputs
H02K0023520000;Motors acting also as generators, e.g. starting motors used as generators for ignition or lighting
H02K0023540000;Disc armature motors or generators
H02K0023560000;Motors or generators having¶ÿiron cores separated from armature winding
H02K0023580000;Motors or generators without iron cores
H02K0023600000;Motors or generators having rotating armatures and¶ÿrotating excitation field
H02K0023620000;Motors or generators with stationary armatures and rotating excitation field
H02K0023640000;Motors specially adapted for running on¶ÿDC or¶ÿAC by choice
H02K0023660000;Structural association with auxiliary electric devices influencing the characteristic of, or controlling, the machine, e.g. with impedances¶ÿor switches
H02K0023680000;Structural association with auxiliary mechanical devices, e.g. with clutches¶ÿor brakes
H02K0024000000;Machines adapted for the instantaneous transmission or reception of the angular displacement of rotating parts, e.g. synchro, selsyn
H02K0025000000;DC interrupter motors or generators
H02K0026000000;Machines adapted to function as torque motors, i.e. to exert a torque when stalled
H02K0027000000;AC commutator motors or generators having mechanical commutator
H02K0027020000;characterised by the armature winding
H02K0027040000;having single-phase operation in series or shunt connection
H02K0027060000;with a single or multiple short-circuited commutator, e.g. repulsion motor
H02K0027080000;with multiple-fed armature
H02K0027100000;with switching devices for different modes of operation, e.g. repulsion-induction motor
H02K0027120000;having multi-phase operation
H02K0027140000;in series connection
H02K0027160000;in shunt connection with stator feeding
H02K0027180000;in shunt connection with rotor feeding
H02K0027200000;Structural association with a speed regulating device
H02K0027220000;having means for improving commutation, e.g. auxiliary fields, double windings, double brushes
H02K0027240000;having two or more commutators
H02K0027260000;having disc armature
H02K0027280000;Structural association with auxiliary electric devices influencing the characteristic of the machine or controlling the machine
