G;SECTION G PHYSICS
G06F0007506000;with simultaneous carry generation for, or propagation over, two or more stages
G06F0007507000;using selection between two conditionally calculated carry or sum values
G06F0007508000;using carry look-ahead circuits
G06F0007509000;for multiple operands, e.g. digital integrators
G06F0007520000;Multiplying. Dividing (G06F0007483000-G06F0007491000, G06F0007544000-G06F0007556000.  take precedence)..
G06F0007523000;Multiplying only
G06F0007525000;in serial-serial fashion, i.e. both operands being entered serially (G06F0007533000 takes precedence)..
G06F0007527000;in serial-parallel fashion, i.e. one operand being entered serially and the other in parallel (G06F0007533000 takes precedence)..
G06F0007530000;in parallel-parallel fashion, i.e. both operands being entered in parallel (G06F0007533000 takes precedence)..
G06F0007533000;Reduction of the number of iteration steps or stages, e.g. using the Booth algorithm, log-sum, odd-even
G06F0007535000;Dividing only
G06F0007537000;Reduction of the number of iteration steps or stages, e.g. using the Sweeny-Robertson-Tocher (SRT) algorithm
G06F0007544000;for evaluating functions by calculation (with a look-up table G06F0001020000)
G06F0007548000;Trigonometric functions. Co-ordinate transformations
G06F0007552000;Powers or roots
G06F0007556000;Logarithmic or exponential functions
G06F0007570000;Arithmetic logic units [ALU], i.e. arrangements or devices for performing two or more of the operations covered by groups . G06F0007483000-G06F0007556000.  or for performing logical operations
G06F0007575000;Basic arithmetic logic units, i.e. devices selectable to perform either addition, subtraction or one of several logical operations, using, at least partially, the same circuitry
G06F0007580000;Random or pseudo-random number generators
G06F0007600000;Methods or arrangements for performing computations using a digital non-denominational number representation, i.e. number representation without radix. Computing devices using combinations of denominational and non-denominational quantity representations
G06F0007620000;Performing operations exclusively by counting total number of pulses
G06F0007640000;Digital differential analysers, i.e. computing devices for differentiation, integration or solving differential or integral equations, using pulses representing increments. Other incremental computing devices for solving difference equations (G06F0007700000 takes precedence.differential analysers using hybrid computing techniques G06J0001020000)
G06F0007660000;wherein pulses represent unitary increments only
G06F0007680000;using pulse rate multipliers or dividers (G06F0007700000 takes precedence)..
G06F0007700000;using stochastic pulse trains, i.e. randomly occurring pulses the average pulse rates of which represent numbers
G06F0007720000;using residue arithmetic
G06F0007740000;Selecting or encoding within a word the position of one or more bits having a specified value, e.g. most or least significant one or zero detection, priority encoders
G06F0007760000;Arrangements for rearranging, permuting or selecting data according to predetermined rules, independently of the content of the data
G06F0007780000;for changing the order of data flow, e.g. matrix transposition, LIFO buffers. Overflow or underflow handling therefor
G06F0009000000;Arrangements for programme control, e.g. control unit (programme control for peripheral devices G06F0013100000)
G06F0009020000;using wired connections, e.g. plugboard
G06F0009040000;using record carriers containing only programme instructions (G06F0009060000 takes precedence)..
G06F0009060000;using stored programme, i.e. using internal store of processing equipment to receive and retain programme
G06F0009220000;Micro-control or micro-programme arrangements
G06F0009240000;Loading of the micro-programme
G06F0009260000;Address formation of the next micro-instruction (G06F0009280000 takes precedence)..
G06F0009280000;Enhancement of operational speed, e.g. by using several micro-control devices operating in parallel
G06F0009300000;Arrangements for executing machine- instructions, e.g. instruction decode (for executing micro-instructions G06F0009220000. for executing subprogrammes G06F0009400000)
G06F0009302000;Controlling the executing of arithmetic operations
G06F0009305000;Controlling the executing of logical operations
G06F0009308000;Controlling single bit operations (G06F0009305000 takes precedence)..
G06F0009312000;Controlling loading, storing or clearing operations
G06F0009315000;Controlling moving, shifting or rotation operations
G06F0009318000;with operation extension or modification
G06F0009320000;Address formation of the next instruction, e.g. incrementing the instruction counter, jump (G06F0009380000 takes precedence.subprogramme jump G06F0009420000)
G06F0009340000;Addressing or accessing the instruction operand or the result
G06F0009345000;of multiple operands or results
G06F0009350000;Indirect addressing
G06F0009355000;Indexed addressing
G06F0009380000;Concurrent instruction execution, e.g. pipeline, look ahead
G06F0009400000;Arrangements for executing subprogrammes, i.e. combinations of several instructions
G06F0009420000;Formation of subprogramme-jump address or of return address
G06F0009440000;Arrangements for executing specific programmes
G06F0009445000;Programme loading or initiating
G06F0009450000;Compilation or interpretation of high level programme languages
G06F0009455000;Emulation. Software simulation
G06F0009460000;Multiprogramming arrangements
G06F0009480000;Programme initiating. Programme switching, e.g. by interrupt
G06F0009500000;Allocation of resources, e.g. of the central processing unit (CPU)
G06F0009520000;Programme synchronisation. Mutual exclusion, e.g. by means of semaphores
G06F0009540000;Interprogramme communication
